"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/FirstPersonBP/My_Assets/Materials/concrete_rough_uhroebug/uhroebug_4K_Albedo_1_Mat.uhroebug_4K_Albedo_1_Mat","0","24","24","1","23.390585","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/asphalt_rough_ufoidcskw/ufoidcskw_4K_Albedo_Mat.ufoidcskw_4K_Albedo_Mat","0","24","24","1","19.304632","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/MiniMat.MiniMat","0","15","15","1","9.815722","0","0"
"/Game/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","0","104","1","0.000000","0","0"
"/Game/untitled_category/untitled_asset/Material_009.Material_009","0","0","15","1","0.000000","0","0"
"/Game/untitled_category/untitled_asset/Material_002.Material_002","0","0","15","1","0.000000","0","0"
"/Game/untitled_category/untitled_asset/Material_001.Material_001","0","0","15","1","0.000000","0","0"
"/Game/untitled_category/untitled_asset/Material_023.Material_023","0","15","15","1","9.600006","0","0"
"/Game/untitled_category/untitled_asset/Material_022.Material_022","0","15","15","1","9.670887","0","0"
"/Game/untitled_category/untitled_asset/Material_021.Material_021","0","15","15","1","9.850863","0","0"
"/Game/StarterContent/Materials/Text_4.Text_4","0","143","149","1","69.764549","0","0"
"/Game/untitled_category/untitled_asset/Material_003.Material_003","0","0","15","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/Text_3.Text_3","0","143","149","1","69.831726","0","0"
"/Game/StarterContent/Materials/Text_2.Text_2","0","143","149","1","70.531082","0","0"
"/Game/StarterContent/Materials/Text_1.Text_1","0","143","149","1","69.328766","0","0"
"/Game/StarterContent/Materials/RedBlue.RedBlue","0","143","149","1","70.034943","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Copper.M_Metal_Copper","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Chrome.M_Metal_Chrome","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Burnished_Steel.M_Metal_Burnished_Steel","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","24","24","1","16.368954","0","0"
"/Game/StarterContent/Materials/M_Concrete_Poured.M_Concrete_Poured","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/Glass_red.Glass_red","0","45","45","1","108.788177","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall1.M_Basic_Wall1","0","0","30","1","0.000000","0","0"
"/Game/StarterContent/Materials/Glass_blue.Glass_blue","0","45","45","1","108.407516","0","0"
"/Game/StarterContent/Materials/Fabric.Fabric","0","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/Light.Light","0","24","24","1","17.287176","0","0"
"/Game/StarterContent/Materials/Emission.Emission","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Materials/Black.Black","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","68","68","1","42.440697","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","0","0","33","1","0.000000","0","0"
"/Game/FeatureTestBP/Blueprints/Portal2_view_Mat.Portal2_view_Mat","0","4","4","1","1.815686","0","0"
"/Game/StarterContent/Props/Materials/M_Frame.M_Frame","0","0","24","1","0.000000","0","0"
"/Game/FeatureTestBP/Blueprints/Portal1_viiew_Mat.Portal1_viiew_Mat","0","4","4","1","1.870378","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/concrete_rough_ugzocfbo/ugzocfbo_4K_Albedo_Mat.ugzocfbo_4K_Albedo_Mat","0","24","24","1","17.468380","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/metal.metal","0","24","24","1","16.457098","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/pinkNeon.pinkNeon","0","24","24","1","16.676884","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/pinkNeon1.pinkNeon1","0","24","24","1","16.179195","0","0"
"/Game/StarterContent/Materials/Text_5.Text_5","0","143","149","1","70.633904","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/building.building","0","15","15","1","9.445450","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/window_001.window_001","0","24","24","1","16.180548","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/Material_001.Material_001","0","24","24","1","17.012897","0","0"
"/Game/FirstPersonBP/My_Assets/Materials/Material.Material","0","15","15","1","9.067061","0","0"
